index	name	haskell_bits	encoding_bits	cost_milliweight	cmr	imr	amr	source_tmr	target_tmr	specification_cmr	specification_imr
1	prior_active_exchange_state_root_required	111100010	11100010	1000	8968ef843d1bcab791739cc0eeec74fe278057f2852991ae86d0e224b0bd6f2c	ca82fe3eab8f8520c1c9da4fe8a66242444547cfcb50edca96740c0676daf2de	8968ef843d1bcab791739cc0eeec74fe278057f2852991ae86d0e224b0bd6f2c	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	e4c4728d876749bebe4d6297dfadd42ce26844500d96c5e9146157508eb9098f	0c5ab500b3aa0c2657d88c32d52acb24bf9ff2ef2b948e551052f177c250934a	2d225ed4ea7ddc613666143491330bda031eb50a0140bef07fe725d2d9a30dba
2	prior_active_forced_inbox_root_required	11110001100	1110001100	1000	ce69d6484251e1471a84e1132ee398293d12df04aafb0f843a03c8d0ab3f5ae7	e85f0b5aacdb83dac3a51f35269c8091845ace248d78b91a7d772ddbefed3a91	ce69d6484251e1471a84e1132ee398293d12df04aafb0f843a03c8d0ab3f5ae7	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	e4c4728d876749bebe4d6297dfadd42ce26844500d96c5e9146157508eb9098f	6bac39b527d124fbc9ef8b29b74fcfb31593b5cc901a9e359900d89abc9ebfeb	cd75688a93323e60b8c0831d4c26033d520d0cdeba343309e355aec8cb701897
3	prior_active_deposit_inbox_root_required	11110001101	1110001101	1000	a8be5c53fb094d6f511f6cfde0954dacdeca854e1586aeb8ca7aae296cd552ea	808d2b27e0c38d9d709a18aca43a1308b9334480f907f91e2d0cfd1e00a3ec70	a8be5c53fb094d6f511f6cfde0954dacdeca854e1586aeb8ca7aae296cd552ea	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	e4c4728d876749bebe4d6297dfadd42ce26844500d96c5e9146157508eb9098f	6f27eefe75e280bcb1c5617542108453eea376a7fd7a3e3164b6a84f6ad420a9	2c74302cadbaed6f25f51d50b1dcafc80fd2e174fc62522469ee786d138c4aed
4	prior_active_forced_processed_cursor_required	11110001110000	1110001110000	1000	271c62691121e4111fef085cf572163cb70bf56ea953282945518c022b5fd57a	d76c71965c3c92dc75947f7f7d167e2bbdd080ef6b90889c3b8f4ba427d32ffb	271c62691121e4111fef085cf572163cb70bf56ea953282945518c022b5fd57a	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	fd75bcd8cb55a5e424e09288ac8eb42942534ec1099b72bece0ea2c5479bf3e7	8586ea416a440270a41cddc47d984b8e3fc263c19a653cf3da4b02db72f8ddb5	1292e0aa1135015a558360bf4b0e136d43f4ad13e6eb730f32a4fd2b9b74d99a
5	prior_active_deposit_processed_cursor_required	11110001110001	1110001110001	1000	34517ad012a67f816327f319f7c75cc9907ae2b6eb6fa92276e17da02955aa70	2514dcad8ee13f14ecb44ab3661e2dfff0417d958e38421a3793e237aa85a16f	34517ad012a67f816327f319f7c75cc9907ae2b6eb6fa92276e17da02955aa70	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	fd75bcd8cb55a5e424e09288ac8eb42942534ec1099b72bece0ea2c5479bf3e7	56375fde02ea03bd14f2dd2a19a8eed5319f2c9812937ac3f8d4e9dc0ea940f9	a23d02284df232fe73828340c8ceb1be1c1921e7d0511890c0c3177dec0b6c4b
6	current_bmm_parent_block_hash_required	11110001110010	1110001110010	1000	0e8514874bc9b15750f6bbb7e1c620dd0c30e084abc149c5e2f9c156579fda97	1cfc0d0dd00e1fafab5b4b56d872058075cc44325d5950f48d3fb35fff560d7b	0e8514874bc9b15750f6bbb7e1c620dd0c30e084abc149c5e2f9c156579fda97	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	e4c4728d876749bebe4d6297dfadd42ce26844500d96c5e9146157508eb9098f	78522ee4b12802e83c6a369dc752600eef635b7cc93c877e77bf291df6d009cb	9c4eb7b468fb4fe41026bcdf59b188749a090b8f2c2b08427b57199e04648587
7	current_bmm_parent_height_required	11110001110011	1110001110011	1000	b80b0052daa8d97d1ef5e94ec8a3fdea1340c5ed4d4f7a34bf9330dc9f397e96	9ad248f574d5adacaa84b61c35b4434b5e26199f7f7285601ff595fb3f693a54	b80b0052daa8d97d1ef5e94ec8a3fdea1340c5ed4d4f7a34bf9330dc9f397e96	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	fd75bcd8cb55a5e424e09288ac8eb42942534ec1099b72bece0ea2c5479bf3e7	117f2e10d293772e39df4d49958742634a61f00839262a6734c9f072c3108a76	b6484436b73659e6fb24b20d592ecc6fe3ef8625e10fae43eaba80cce42dd5c1
8	current_bmm_parent_mtp_required	111100011101000	11100011101000	1000	1a414fcfa49fe260b104e03f49e01065517b017979b29170196ac2ddf781b384	4ced0873a86ad1e175b493007686fd3268c2600140e3a4cc5ec5e59277dcd4ae	1a414fcfa49fe260b104e03f49e01065517b017979b29170196ac2ddf781b384	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	fd75bcd8cb55a5e424e09288ac8eb42942534ec1099b72bece0ea2c5479bf3e7	8e17f5d5dfbfbd1136a1a05b8a3bcccd063d2e99c3d489935b290b151d3b08d1	99b28174e711468893c486d72c35e88768455b061f6dc6821e3c7449c610864d
9	bond_v2_configuration_hash_required	111100011101001	11100011101001	1000	d0e09cc12bb24c4feb595749acb2b367d4f9bf8b2fc565441c6ec64e4cff7b24	b0a0fd3bb1038fa71c84fdff1d6ee9a7e51cc33da5003bd9763796a26cd91dce	d0e09cc12bb24c4feb595749acb2b367d4f9bf8b2fc565441c6ec64e4cff7b24	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	e4c4728d876749bebe4d6297dfadd42ce26844500d96c5e9146157508eb9098f	b315a9678610baabe9f73382f08b7a06145fa1243dec4d9a9477311de2acf5b8	0878c3ea0eabb317275290316136be983cb52a0e3bd4e9406367430623ad940e
10	bond_v2_asset_id_required	111100011101010	11100011101010	1000	2c4bf0c69a4df508231a7c07deed9bcdb826da378917012fed16ead665b4588d	e9314a7fdc73ec44f237a10a9149058f4dae070581f8684b8e4e4a19b70dfb5f	2c4bf0c69a4df508231a7c07deed9bcdb826da378917012fed16ead665b4588d	50b38cd76475ff8929288bfcd0d9df0e4a241c0a5708572ad264192a4fe67bee	e4c4728d876749bebe4d6297dfadd42ce26844500d96c5e9146157508eb9098f	5fa2f1ef55935afdbee1da4957b6b572373de42920917ab7fb7b7759636ac587	f9698863bb9ba653b896d1a057963105991e82cb2d12516c8baa0254e639e790
